image,label
P00462138.jpg,Clothing
P00447042.jpg,Shoes
P00462123.jpg,Clothing
P00425745.jpg,Bags
P00440101.jpg,Clothing
P00440104.jpg,Clothing
P00278730.jpg,Clothing
P00437254.jpg,Clothing
P00440102.jpg,Clothing
P00437644.jpg,Clothing
P00414985.jpg,Shoes
P00437574.jpg,Clothing
P00432138.jpg,Accessories
P00435242.jpg,Bags
P00364633.jpg,Clothing
P00456418.jpg,Clothing
P00428877.jpg,Clothing
P00437682.jpg,Clothing
P00402454.jpg,Clothing
P00462168.jpg,Clothing
P00451493.jpg,Shoes
P00418750.jpg,Accessories
P00420475.jpg,Bags
P00462136.jpg,Clothing
P00434116.jpg,Clothing
P00422954.jpg,Clothing
P00439997.jpg,Clothing
P00437178.jpg,Clothing
P00426281.jpg,Clothing
P00464521.jpg,Clothing
P00329672.jpg,Shoes
P00470549.jpg,Clothing
P00422220.jpg,Bags
P00337091.jpg,Clothing
P00423901.jpg,Clothing
P00416047.jpg,Clothing
P00433343.jpg,Clothing
P00480782.jpg,Clothing
P00461377.jpg,Shoes
P00435621.jpg,Clothing
P00399749.jpg,Clothing
P00416015.jpg,Clothing
P00426237.jpg,Clothing
P00447524.jpg,Clothing
P00403532.jpg,Shoes
P00428790.jpg,Bags
P00405827.jpg,Accessories
P00444496.jpg,Clothing
P00336168.jpg,Clothing
P00449655.jpg,Clothing
P00400008.jpg,Clothing
P00371601.jpg,Clothing
P00469452.jpg,Clothing
P00435036.jpg,Shoes
P00458377.jpg,Accessories
P00447186.jpg,Bags
P00469457.jpg,Clothing
P00447711.jpg,Clothing
P00466860.jpg,Clothing
P00437279.jpg,Clothing
P00434967.jpg,Clothing
P00442575.jpg,Clothing
P00428884.jpg,Shoes
P00446995.jpg,Accessories
P00469386.jpg,Clothing
P00208317.jpg,Clothing
P00469668.jpg,Clothing
P00468672.jpg,Clothing
P00364626.jpg,Clothing
P00462127.jpg,Clothing
P00428785.jpg,Bags
P00425925.jpg,Accessories
P00418812.jpg,Accessories
P00409916.jpg,Clothing
P00439307.jpg,Clothing
P00444245.jpg,Clothing
P00439324.jpg,Clothing
P00435849.jpg,Clothing
P00400428.jpg,Shoes
P00437775.jpg,Bags
P00447254.jpg,Clothing
P00370012.jpg,Clothing
P00465335.jpg,Clothing
P00435869.jpg,Clothing
P00294538.jpg,Clothing
P00449176.jpg,Clothing
P00400823.jpg,Shoes
P00466759.jpg,Clothing
P00436161.jpg,Clothing
P00399936.jpg,Clothing
P00466748.jpg,Clothing
P00422689.jpg,Clothing
P00410588.jpg,Clothing
P00361774.jpg,Clothing
P00261494.jpg,Shoes
P00398916.jpg,Bags
P00434006.jpg,Accessories
P00312882.jpg,Clothing
P00444930.jpg,Clothing
P00469699.jpg,Clothing
P00312577.jpg,Clothing
P00402446.jpg,Clothing
P00430837.jpg,Clothing
P00409658.jpg,Clothing
P00437915.jpg,Shoes
P00399792.jpg,Clothing
P00399717.jpg,Clothing
P00341583.jpg,Clothing
P00424122.jpg,Clothing
P00410593.jpg,Clothing
P00476062.jpg,Clothing
P00453669.jpg,Shoes
P00395168.jpg,Bags
P00368472.jpg,Accessories
P00445570.jpg,Accessories
P00399722.jpg,Clothing
P00432664.jpg,Clothing
P00399710.jpg,Clothing
P00476063.jpg,Clothing
P00435335.jpg,Clothing
P00364708.jpg,Clothing
